uniprot_id	protein_name	reviewed	ec_in_uniprot	rxn_id_in_uniprot	rxn_equation_in_uniprot	gene_id_bigg	RXNRECer	RXNRECer_with_prob	ECRECer_equations
Q46901	CRISPR system Cascade subunit CasA (CRISPR type I-E/Ecoli-associated protein CasA/Cse1) (CRISPR-associated protein CasA/Cse1)	reviewed	-	-	-	b2760	-	{'-': 1.0}	-
P77304	Dipeptide and tripeptide permease A	reviewed	-	-	-	b1634	-	{'-': 1.0}	-
P36837	Dipeptide and tripeptide permease B	reviewed	-	-	-	b3496	-	{'-': 1.0}	-
P75990	Blue light- and temperature-regulated antirepressor BluF (Blrp)	reviewed	-	-	-	b1163	-	{'-': 1.0}	-
P39276	Dipeptide and tripeptide permease C (Dipeptide/tripeptide:H(+) symporter DtpC)	reviewed	-	-	-	b4130	-	{'-': 1.0}	-
P0ADE4	Translocation and assembly module subunit TamA (Autotransporter assembly factor TamA)	reviewed	-	-	-	b4220	-	{'-': 1.0}	-
P39321	Translocation and assembly module subunit TamB (Autotransporter assembly factor TamB)	reviewed	-	-	-	b4221	-	{'-': 1.0}	-
P0A9E5	Fumarate and nitrate reduction regulatory protein	reviewed	-	-	-	b1334	-	{'-': 1.0}	-
P13518	RNase E specificity factor CsrD (Regulator of CsrB and CsrC decay CsrD)	reviewed	-	-	-	b3252	-	{'-': 1.0}	-
P03961	Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	reviewed	-	-	-	b0696	-	{'-': 1.0}	-
P03960	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	reviewed	7.2.2.6	RHEA:16777	['ATP + H2O + K(+)(out) = ADP + H(+) + K(+)(in) + phosphate']	b0697	RHEA:16777	{'RHEA:16777': 1.0}	['ATP + H2O + K(+)(out) = ADP + H(+) + K(+)(in) + phosphate']
P03959	Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain)	reviewed	-	-	-	b0698	-	{'-': 1.0}	-
P0ACN4	HTH-type transcriptional repressor AllR (Negative regulator of allantoin and glyoxylate utilization operons)	reviewed	-	-	-	b0506	-	{'-': 1.0}	-
P0A9P0	Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes) (Glycine cleavage system L protein)	reviewed	1.8.1.4	RHEA:15045	['N(6)-[(R)-dihydrolipoyl]-L-lysyl-[protein] + NAD(+) = H(+) + N(6)-[(R)-lipoyl]-L-lysyl-[protein] + NADH']	b0116	RHEA:15045	{'RHEA:15045': 1.0}	['N(6)-[(R)-dihydrolipoyl]-L-lysyl-[protein] + NAD(+) = H(+) + N(6)-[(R)-lipoyl]-L-lysyl-[protein] + NADH']
P0ACQ4	DNA-binding transcriptional dual regulator OxyR (Hydrogen peroxide-inducible genes activator) (Morphology and auto-aggregation control protein)	reviewed	-	-	-	b3961	-	{'-': 1.0}	-
P36937	Potassium-transporting ATPase KdpF subunit (ATP phosphohydrolase [potassium-transporting] F chain) (Potassium-binding and translocating subunit F) (Potassium-translocating ATPase F chain)	reviewed	-	-	-	b4513	-	{'-': 1.0}	-
P25539	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	reviewed	1.1.1.193;3.5.4.26	RHEA:21868;RHEA:17845	['5-amino-6-(5-phospho-D-ribitylamino)uracil + NADP(+) = 5-amino-6-(5-phospho-D-ribosylamino)uracil + H(+) + NADPH', '2,5-diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine + H(+) + H2O = 5-amino-6-(5-phospho-D-ribosylamino)uracil + NH4(+)']	b0414	RHEA:21868;RHEA:17845	{'RHEA:21868': 1.0, 'RHEA:17845': 1.0}	['5-amino-6-(5-phospho-D-ribitylamino)uracil + NADP(+) = 5-amino-6-(5-phospho-D-ribosylamino)uracil + H(+) + NADPH', '2,5-diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine + H(+) + H2O = 5-amino-6-(5-phospho-D-ribosylamino)uracil + NH4(+)']
P76251	D-malate dehydrogenase [decarboxylating] (EC 1.1.1.83) (D-malate degradation protein A) (D-malate oxidase)	reviewed	1.1.1.83	RHEA:18365	['(R)-malate + NAD(+) = CO2 + NADH + pyruvate']	b1800	RHEA:18365;RHEA:13317	{'RHEA:18365': 1.0, 'RHEA:13317': 0.7777}	['(2R,3R)-tartrate + H(+) = (R)-glycerate + CO2', '(R)-malate + NAD(+) = CO2 + NADH + pyruvate']
P08200	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	reviewed	1.1.1.42	RHEA:19629	['D-threo-isocitrate + NADP(+) = 2-oxoglutarate + CO2 + NADPH']	b1136	RHEA:19629	{'RHEA:19629': 1.0}	['D-threo-isocitrate + NADP(+) = 2-oxoglutarate + CO2 + NADPH']
P77218	Phosphate acetyltransferase EutD (EC 2.3.1.8) (Ethanolamine utilization protein EutD)	reviewed	2.3.1.8	RHEA:19521	['acetyl-CoA + phosphate = acetyl phosphate + CoA']	b2458	RHEA:19521	{'RHEA:19521': 1.0}	['acetyl-CoA + phosphate = acetyl phosphate + CoA']
P16869	Hydroxamate siderophore receptor FhuE (Ferric iron uptake protein) (Ferric-coprogen receptor FhuE) (Outer-membrane receptor for Fe(III)-coprogen, Fe(III)-ferrioxamine B and Fe(III)-rhodotrulic acid) (TonB-dependent transporter receptor FhuE) (TBDT receptor FhuE)	reviewed	-	-	-	b1102	-	{'-': 1.0}	-
P77766	5'-3' exoribonuclease Rnm (EC 3.1.13.-) (3',5'-nucleotide bisphosphate phosphatase) (EC 3.1.3.97) (RNase AM)	reviewed	3.1.13.-;3.1.3.97	RHEA:43532	"[""a ribonucleoside 3',5'-bisphosphate + H2O = a ribonucleoside 5'-phosphate + phosphate""]"	b1266	RHEA:43532	{'RHEA:43532': 1.0}	"[""a ribonucleoside 3',5'-bisphosphate + H2O = a ribonucleoside 5'-phosphate + phosphate""]"
