XP_025580819.1	EC:1.14.13.63
XP_025582108.1	EC:4.2.3.154
XP_025582221.1	EC:3.4.23.22
XP_025582456.1	EC:1.1.1.117
XP_025582500.2	EC:2.4.1.34
XP_025582724.1	EC:6.2.1.45
XP_025582731.1	EC:3.6.3.9
XP_025582771.1	EC:1.1.1.n12
XP_025582956.2	EC:5.5.1.5
XP_025583352.2	EC:3.4.19.14
XP_025583396.2	EC:1.1.3.38
XP_025583461.1	EC:4.1.1.46
XP_025583709.1	EC:3.4.21.64
XP_025583757.1	EC:1.1.1.353
XP_025583844.1	EC:1.14.13.12
XP_025584283.1	EC:5.5.1.5
XP_025584402.1	EC:1.3.99.12
XP_025584498.1	EC:3.6.3.1
XP_025584915.2	EC:1.1.1.365
XP_025585064.1	EC:1.5.3.7
XP_025585156.1	EC:3.4.21.48
XP_025585263.1	EC:1.3.99.30
XP_025585578.1	EC:1.13.11.60
XP_025585676.1	EC:1.5.3.19
XP_025585927.1	EC:1.1.1.381
XP_025585949.1	EC:1.13.11.60
XP_025585970.2	EC:1.14.19.41
XP_025586544.1	EC:1.2.1.97
XP_025586580.2	EC:1.1.1.372
XP_025586622.2	EC:1.1.1.381
XP_025586663.1	EC:2.1.1.290
XP_025587304.1	EC:3.5.5.5
XP_025587519.1	EC:1.2.1.31
XP_025587706.1	EC:1.5.1.8
XP_025588704.1	EC:6.3.4.16
XP_025588956.2	EC:1.4.7.1
XP_025589049.1	EC:1.1.1.263
XP_025589092.1	EC:1.17.3.2
XP_025589356.1	EC:1.1.1.353
XP_025589526.2	EC:1.14.19.41
XP_025589884.1	EC:1.4.3.22
XP_025589912.1	EC:3.2.1.165
XP_025590495.2	EC:3.4.13.20
XP_025590570.1	EC:1.2.1.82
XP_025590642.1	EC:1.1.1.289
XP_025590847.1	EC:3.5.2.9
XP_025591402.1	EC:3.1.1.20
XP_025591471.1	EC:4.2.1.69
XP_025591871.1	EC:3.1.1.86
XP_025591945.1	EC:3.5.2.9
XP_025592396.1	EC:4.2.1.76
XP_025592570.1	EC:2.3.1.38
XP_025592571.2	EC:2.3.1.86
XP_025592777.1	EC:3.6.3.1
XP_025592802.1	EC:4.1.2.54
XP_025593646.1	EC:2.3.1.256
XP_025593867.1	EC:3.4.19.14
XP_025593953.1	EC:2.5.1.82
XP_025593984.2	EC:1.13.11.60
XP_025594259.1	EC:3.2.1.155
XP_065463150.1	EC:3.2.1.105
XP_065463244.1	EC:1.14.99.51
XP_065463425.1	EC:1.2.1.31
XP_065463906.1	EC:5.1.1.17
XP_065464175.1	EC:1.4.3.22
XP_065464340.1	EC:3.6.3.7
XP_065465044.1	EC:2.4.1.231
XP_065465179.1	EC:1.2.1.62
