Query ID	Predicted EC number
XP_025580794.1	EC:2.5.1.129
XP_025580807.1	EC:3.1.1.3
XP_025580816.1	EC:3.7.1.2
XP_025580842.1	EC:3.2.1.55
XP_025580861.1	EC:3.5.5.1
XP_025580901.1	EC:2.7.11.1
XP_025580920.1	EC:2.1.1.43
XP_025580938.1	EC:4.2.1.22
XP_025580940.2	EC:2.3.1.225
XP_025580947.1	EC:1.11.1.6
XP_025580953.1	EC:3.4.11.18
XP_025580967.2	EC:6.1.1.19
XP_025581005.1	EC:3.2.1.21
XP_025581006.1	EC:1.3.1.70
XP_025581011.1	EC:3.2.1.91
XP_025581040.1	EC:3.6.4.13
XP_025581042.1	EC:2.3.3.13
XP_025581050.1	EC:2.7.11.1
XP_025581072.1	EC:3.4.11.21
XP_025581079.2	EC:2.7.7.48
XP_025581098.1	EC:3.1.2.12
XP_025581123.1	EC:5.3.1.1
XP_025581138.1	EC:5.99.1.2
XP_025581143.2	EC:3.6.4.12
XP_025581169.1	EC:1.11.1.6
XP_025581181.1	EC:2.4.1.12
XP_025581190.1	EC:2.6.1.19
XP_025581218.1	EC:3.6.4.12
XP_025581226.1	EC:2.5.1.10
XP_025581226.1	EC:2.5.1.1
XP_025581247.1	EC:3.6.4.13
XP_025581265.1	EC:2.4.1.11
XP_025581284.1	EC:3.6.4.13
XP_025581292.1	EC:3.6.4.13
XP_025581293.1	EC:6.1.1.9
XP_025581309.1	EC:3.4.24.59
XP_025581325.2	EC:2.7.11.17
XP_025581327.2	EC:6.1.1.21
XP_025581330.1	EC:2.3.2.27
XP_025581331.2	EC:3.6.4.13
XP_025581343.1	EC:3.4.16.5
XP_025581346.2	EC:4.1.99.22
XP_025581390.1	EC:2.7.11.1
XP_025581401.1	EC:1.6.2.2
XP_025581405.2	EC:2.7.7.50
XP_025581407.1	EC:2.7.7.48
XP_025581410.1	EC:2.3.2.27
XP_025581413.1	EC:2.7.11.1
XP_025581415.1	EC:2.7.11.1
XP_025581450.1	EC:1.1.1.14
XP_025581481.2	EC:3.1.2.4
XP_025581495.1	EC:3.1.1.31
XP_025581509.2	EC:2.3.2.27
XP_025581526.1	EC:1.13.11.6
XP_025581553.1	EC:2.3.2.27
